進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
111/08/22,杰毅,昇達鑫,20220819024,-1,50BV30,短套,1/2 ×,10,,"                 2,200 ",4B,RO,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819024,-2,50BV30,短套,1/2 ×,13,× 6R,"                 3,000 ",5B,RO,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819024,-3,50BV30,短套,1/2 ×,15,× 6R,                     700 ,1B,RO雙溝,,杰毅,,? 出貨完畢,,1B,                716 ,  ,,                               716 ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-1,50BV30,短套,1/2 ×,22,× 6R,"                 2,100 ",6B,RO雙溝,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-2,50BV30,短套,1/2 ×,30,× 6R,"                 1,120 ",7B,RO雙溝,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-3,50BV30,短套,1/2 ×,14,× 12R,"                 1,950 ",3B,RO,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-4,50BV30,短套,1/2 ×,21,× 12R,"                 3,200 ",8B,RO削花溝珠溝,,,,? 出貨完畢,1K,1B,"            3,242 ",  ,,"                           3,242 ",,,,,,
111/08/22,六宏,昇達鑫,AH1110819,-1,50BV30,短套,1/2 ×,29,× 梅,                     380 ,2B,反R,,得利,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
110/12/28,偉順,三仕,1101228101,-1,50BV30,短套,1/2 ×,E22,,                     450 ,12B,反R板溝,111/01/10,杰霖,110586,? 出貨完畢,,,,  ,,                                  -   ,  ,,,,,
111/05/04,偉順,入庫尚揚,1110504-111049,-1,50BV30,短套,1/2 ×,11,×  ,                     600 ,-,正R一溝,,偉順,111049,? 出貨完畢,,1B,,  ,,,,,,,,
111/02/09,偉順,昇達鑫,20220209020,-1,50BV30,短套,1/2 ×,18,× 6R,"                 1,652 ",7B,反R,,杰霖,111010,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/05,偉順,三仕,1110104113,-1,50BV30,短套,1/2 ×,14,× 12R,"                 3,200 ",7B,正R,111/01/20,杰霖,111001,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/06,偉順,三仕,1110105129,-1,50BV30,短套,1/2 ×,21,× 12R,"                 2,000 ",12B,直型,111/01/21,杰霖,111002,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/19,維興,維興,2221394,-1,50BV30,S,1/2 ×,24,× 6R,"                 5,160 ",26B,短美單,,鴻輝,,? 出貨完畢,,,,  ,,,,,,,,
111/01/05,偉順,三仕,1110104113,-2,50BV30,短套,1/2 ×,22,× 12R,"                 1,000 ",10B,反R,,杰霖,111001,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/06,偉順,三仕,1110105129,-2,50BV30,短套,1/2 ×,21,× 12R,"                 1,700 ",12B,直型小雙溝,,杰霖,111002,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/11,偉順,三仕,1110111122,-1,50BV30,短套,1/2 ×,3/4,× 12R,"                 3,000 ",13B,直型,,杰霖,111004,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/25,六宏,昇達鑫,20220823017,-1,50BV30,長汽,1/2 ×,1-1/8,× 6R,                     450 ,5B,GS,,鴻輝,整批急件??,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/06,偉順,三仕,1110601618,-1,50BV30,短套,1/2 ×,15/16,× 12R,"                 1,500 ",6B,直型,,偉順,111058,? 出貨完畢,1K,,"            1,509 ",  ,,,,,,,,
111/08/17,六宏,昇達鑫,20220815013,-1,50BV30,短套,1/2 ×,30,× 齒,                     960 ,6B,反R板溝,,玄豐,,? 出貨完畢,1K,,                965 ,  ,,,,,,,,
111/08/17,六宏,昇達鑫,20220815014,-1,440,短汽,1/2 ×,25,× 6R,"                 1,000 ",10B,GS,,鴻輝,,? 出貨完畢,,,,  ,,,,,,,,
111/08/22,偉順,昇達鑫,20220819008,-1,50BV30,短套,1/2 ×,24,× 6R,"                 1,000 ",10B,反R一溝,111/10/05,杰霖,111084,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/10,仁廷,智旺,1110610abei2,-1,50BV30,萬向,1/2 ×,18,× 6R,"               15,491 ",61+1B,,,,,? 出貨完畢,,,,  ,"                      10,404 ",,,,,,,
110/12/01,杰毅,杰毅,202112010004,-1,50BV30,短套,3/4 ×,36,× 6R,"                 1,000 ",2K,補雙溝,,,,? 出貨完畢,,,,  ,,,,,,,,
111/08/11,維興,三仕,1110802102,-1,50BV30,S,1/2 ×,22,× 6R,"                 3,000 ",10B,S.92,,玄豐,,? 出貨完畢,1K,,"            3,023 ",  ,,,,,,,,
111/08/11,?德,潮洋,22811011,-1,50BV30,短套,3/4 ×,22,× 12R,"                 1,460 ",2K,,,尚揚庫存,,? 出貨完畢,,,,  ,,,,,,,,
111/08/11,?德,潮洋,22811011,-2,50BV30,短套,3/4 ×,26,× 6R,"                 3,073 ",3K,,,尚揚庫存,,? 出貨完畢,,,,  ,,,,,,,,
111/08/11,?德,潮洋,22811011,-3,50BV30,短套,3/4 ×,19,× 12R,"                 3,077 ",3K,,,尚揚庫存,,? 出貨完畢,,,,  ,,,,,,,,
111/08/10,六宏,六宏,017127,-1,50BV30,短汽,3/4 ×,30,× 6R,"                 2,120 ",3K,直型汽溝GS,,鉅利興,,? 出貨完畢,3K,,"            2,000 ",  ,,,,,,,,
111/04/13,向得行,潮洋,22413013,-1,50BV30,短套,1/2 ×,7/8,× 6R,"                 3,150 ",2K,反R,,順龍,,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/10,維興,三仕,1110726103,-1,50BV30,S,1/2 ×,21,× 6R,"                 2,100 ",6B,S.92,,玄豐,,? 出貨完畢,1K,,,  ,,,,,,,,
111/08/22,偉順,昇達鑫,20220819008,-2,50BV30,短套,1/2 ×,15,× 12R,"                 1,100 ",3B,直型一溝,111/10/05,杰霖,111085,? 出貨完畢,1K,,,  ,,,,,,,,
111/08/08,仁廷,智旺,0529,-1,50BV30,接頭,1/2 ×,3/4,,"                 1,550 ",1K,,,諭成,未鑽孔諭成,? 出貨完畢,1K,,,  ,,,,,,,,
111/08/08,偉順,昇達鑫,20220804019,-1,50BV30,短套,1/2 ×,27,× 12R,"                 1,000 ",-,直型小雙溝,111/03/30,偉順,111079,? 出貨完畢,1K,,                990 ,  ,,,,,,,,
111/08/08,向得行,潮洋,22808004,-1,50BV30,短套,1/2 ×,22,× 6R,"               25,290 ",13K,反R,,銓成,,? 出貨完畢,9K,,,  ,,,,,,,,
111/01/19,偉順,三仕,1110119103,-1,50BV30,短套,1/2 ×,1-1/4,× 12R,"                 2,205 ",51B,直型,111/04/15,杰霖,111018,? 出貨完畢,,,,  ,,,  ,,,,,
111/06/01,維興,三仕,1110601616,-1,50BV30,S,1/2 ×,30,× 6R,"                 2,100 ",14B,S.92,,玄豐,,? 出貨完畢,1K,,,  ,,,,,,,,
110/12/27,杰毅,杰毅,202112270004,-1,50BV30,短套,1/2 ×,19,× 6R,"                 2,050 ",1K,RO,,,,? 出貨完畢,,,,  ,,,,,,,,
111/08/05,向得行,松亞豐鑫,1110804,-1,415,短汽,3/4 ×,36,× 6R,"                 2,094 ",5K,未加工轉出,,仲冠,,? 出貨完畢,,,,  ,,,,,,,,
111/08/05,向得行,松亞豐鑫,1110804,-2,50BV30,短套,3/4 ×,35,× 12R,"                 1,593 ",3K,車破反R,,宏元,,? 出貨完畢,3K,,,  ,,,,,,,,
111/02/09,偉順,三仕,1110209104,-1,50BV30,短套,1/2 ×,7/8,× 12R,"                 2,100 ",10B,直型大雙溝,,杰霖,111011,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/19,偉順,入庫尚揚,111083,-1,50BV30,短套,1/2 ×,16,× 6R,"                 1,700 ",-,反R,111/09/20,杰霖,111083,? 出貨完畢,1K,,"            1,586 ",  ,,,,,,,,
111/08/18,偉順,入庫尚揚,111082,-1,50BV30,短套,1/2 ×,20,× 12R,"                 1,500 ",-,反R,111/09/20,杰霖,111082,? 出貨完畢,1K,,"            1,487 ",  ,,,,,,,,
111/08/03,六宏,昇達鑫,20220801013,-1,50BV30,長套,1/2 ×,26,× 6R,                     650 ,5B,反R板溝,,昇達鑫,退回,? 出貨完畢,,,,  ,,,,,,,,
109/06/24,六宏,昇達鑫入,20200624006,-1,50BV30,短套,1/2 ×,28,× 6R,                     360 ,2B,反R板溝,,玄豐,,-,,,,,,,,,,,,
111/08/03,六宏,昇達鑫,20220801013,-2,50BV30,長套,1/2 ×,30,× 6R,                     630 ,7B,反R板溝,,玄豐,,? 出貨完畢,1K,,,  ,,,,,,,,
109/09/18,六宏,昇達鑫入,20200918024,-1,50BV30,長汽,1/2 ×,24,× 6R,"                 1,920 ",12B,雙頭,,,,-,,,,,,,,,,,,
111/08/03,?德,?德,1110803,-1,50BV30,短套,3/4 ×,36,× 6R,"                 5,096 ",10K,車破反R,,信昌 (潮松料),,? 出貨完畢,8K,,"            3,141 ",  ,"                         1,955 ",,,,,,,
111/08/17,偉順,潮洋,22812003,-1,50BV30,短套,1/2 ×,22,× 12R,"                 3,025 ",2K,111114,112/02/15,,,?? 訂單轉移,,,,"           3,025 ",,,,,,,,
111/08/09,偉順,潮洋,22809005,-1,50BV30,短套,1/2 ×,27,× 12R,"                 3,036 ",2K1B,111114,111/03/25,,,?? 訂單轉移,,,,"           3,036 ",,,,,,,,
111/08/02,偉順,入庫尚揚,1110074,-1,50BV30,短套,1/2 ×,30,× 12R,                     900 ,-,直型,111/06/24,偉順,1110074,? 出貨完畢,1K,,,  ,,,,,,,,
111/08/08,偉順,入庫尚揚,111078,-1,50BV30,短套,1/2 ×,24,× 12R,"                 2,200 ",-,反R,111/09/08,杰霖,111078,? 出貨完畢,1K,,,  ,,,,,,,,
110/12/03,偉順,三仕,1101203124,-1,50BV30,短套,1/2 ×,E12,,"                 2,000 ",8B,正R板溝,111/07/11,杰霖,110572,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/01,杰毅,昇達鑫,20220801015,-1,50BV30,短套,1/2 ×,22,× 6R,                     350 ,1B,直筒珠溝,,杰毅,,? 出貨完畢,,1B,,  ,,,,,,,,
111/08/01,杰毅,昇達鑫,20220801015,-2,50BV30,短套,1/2 ×,32,× 6R,                     300 ,2B,直筒珠溝,,杰毅,,? 出貨完畢,1K,,,  ,,,,,,,,
111/02/23,六宏,六宏,002933,-1,-,長汽,1/2 ×,35,× 6R,"                 2,099 ",6K,車破反R汽溝,,信昌,1110825,? 出貨完畢,5K,,,  ,,,  ,,,,,
111/07/28,杰毅,昇達鑫,20220727009,-1,50BV30,短套,1/2 ×,18,× 12R,"                 1,800 ",4B,RO,,杰毅,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/28,杰毅,昇達鑫,ZU1110728,-1,50BV30,短套,1/2 ×,14,× 12R,                     650 ,1B,RO下板溝,,杰毅,,? 出貨完畢,,1B,,  ,,,,,,,,
111/01/06,偉順,三仕,1110105129,-3,50BV30,短套,1/2 ×,21,× 12R,                     500 ,12B,反R,111/07/15,杰霖,111002,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/27,杰毅,杰毅,AIM22072612,-1,50BV30,短套,1/2 ×,25,× 6R,                     200 ,1B,RO,,杰毅,,? 出貨完畢,,1B,,  ,,,,,,,,
111/07/26,維興,三仕,1110725104,-1,50BV30,S,1/2 ×,20,× 6R,"                 2,100 ",6B,S.92,,玄豐,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/25,仁廷,智旺,220714031,-1,50BV30,接頭,3/4 ×,1/2,,"               10,020 ",6K,,,仁廷,,? 出貨完畢,6K,,"            2,519 ",  ,"                         7,501 ",,,,,,,
111/07/21,杰毅,昇達鑫,20220720017,-1,440,短汽,1/2 ×,13,× 6R,"                 1,290 ",3B,RO汽溝,,,,? 出貨完畢,1K,,,  ,,,,,,,,
110/07/06,筌振,得利,002178,-1,50BV30,短套,3/4 ×,22,× 6R,"                 2,993 ",3K,正R無珠溝,,,,? 出貨完畢,,,,  ,,,,,,,,
111/07/21,?德,?德,1110721,-1,50BV30,短套,3/4 ×,36,× 12R,"                 3,413 ",7K,車破反R,,信昌 (潮松料),,? 出貨完畢,6K,,,  ,,,,,,,,
111/01/05,杰毅,昇達鑫,20220105034,-1,50BV30,短套,1/2 ×,24,× 12R,                     600 ,2B,RO,,,202201060005,? 出貨完畢,,,                602 ,  ,,,  ,,,,,
111/07/21,六宏,六宏,017109,-1,-,短汽,1/2 ×,"1""",× 6R,"                 1,275 ",1K,GS,,鴻輝,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/18,杰毅,杰毅,AIM22071414,-1,50BV30,短套,1/2 ×,15,× 12R,                     750 ,1K,RO,,,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/18,維興,三仕,1110715137,-1,50BV30,S,1/2 ×,32,× 6R,"                 2,100 ",15B,S.92,,玄豐,,? 出貨完畢,2K,,,  ,,,,,,,,
109/01/13,六宏,昇達鑫入,20200113003,-1,50BV30,短套,1/2 ×,24,× 梅,"                 3,000 ",10B,,,,庫存??,,,,,,,,,,,,,
111/01/14,偉順,祐田,111011312,-1,50BV30,短套,1/2 ×,13/16,× 6R,"                 1,400 ",8B,直型中雙溝,111/09/16,杰霖,111006,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/15,偉順,昇達鑫,AQ1110714,-1,50BV30,短套,1/2 ×,1-5/16,× 6R,                     600 ,25+1B,直型中雙溝,111/08/25,杰霖,111071,? 出貨完畢,1K,,,  ,,,,,,,,
111/08/31,偉順,偉順,134186,-1,50BV30,短套,1/2 ×,30,× 6R,                     600 ,1K,直型中雙溝,111/09/20,杰霖,111087,? 出貨完畢,1K,,,  ,,,,,,,,
109/01/13,六宏,昇達鑫入,20200113003,-2,50BV30,短套,1/2 ×,27,× 梅,"                 3,080 ",14B,,,,庫存??,,,,,,,,,,,,,
111/01/13,偉順,三仕,1110112113,-1,50BV30,短套,1/2 ×,3/4,× 12R,"                 5,500 ",25B,直型大雙溝,111/09/20,杰霖,111005,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/15,杰毅,昇達鑫,20220714012,-1,50BV30,短套,1/2 ×,16,× 12R,"                 2,100 ",3B,RO,,杰毅,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/15,維興,三仕,1110713113,-1,50BV30,S,1/2 ×,10,× 6R,"                 4,000 ",8B,S.92,,銓成,,? 出貨完畢,,,,  ,,,,,,,,
111/08/05,偉順,昇達鑫,20220801014,-1,50BV30,短套,1/2 ×,15,× 6R,"                 1,500 ",5B,反R,111/09/16,杰霖,111075,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/14,向得行,潮洋,22713002,-1,50BV30,長套,1/2 ×,22,× 6R,"               14,100 ",13K,反R,,順龍,,? 出貨完畢,13K,,,  ,,,,,,,,
110/07/06,筌振,得利,002178,-2,50BV30,短套,3/4 ×,27,× 12R,"                 3,493 ",4K,反R無珠溝,,,,? 出貨完畢,,,,  ,,,,,,,,
110/12/10,杰毅,昇達鑫,20211209015,-1,50BV30,短套,3/4 ×,23,× 6R,"                 3,075 ",20+1B,RO,,,202112100005,? 出貨完畢,,,,  ,,,,,,,,
111/07/12,杰毅,昇達鑫,20220711023,-1,50BV30,HBS,1/2 ×,10,× 6R,"                 3,150 ",7B,正R雙溝珠,,,,? 出貨完畢,,,,  ,,,,,,,,
111/01/26,偉順,三仕,1110126102,-1,50BV30,短套,1/2 ×,1-1/4,× 6R,                     623 ,16B,直型中雙溝,,杰霖,111009,? 出貨完畢,,,,  ,,,  ,,,,,
110/07/13,筌振,得利,002179,-1,50BV30,短套,3/4 ×,32,× 6R,"                 4,889 ",8K,反R無珠溝,,,,? 出貨完畢,,,,  ,,,,,,,,
111/08/05,偉順,昇達鑫,20220801014,-2,50BV30,短套,1/2 ×,1-1/16,× 12R,"                 1,400 ",13B,直型小雙溝,111/09/30,杰霖,111075,? 出貨完畢,,,,  ,,,,,,,,
111/07/04,杰毅,昇達鑫,20220630002,-1,50BV30,短套,1/2 ×,15,× 6R,                     700 ,1B,RO雙溝,,杰毅,,? 出貨完畢,,,,  ,,,,,,,,
111/07/12,維興,維興,2221777,-1,50BV30,雙向,1/2 ×,3/4,× 13/16,"                 3,725 ",4K,車R雙頭,,立富,板溝,? 出貨完畢,3K,,"            3,705 ",  ,,,,,,,,
111/07/12,維興,維興,2221777,-2,50BV30,S,1/2 ×,25,× 6R,"                 1,896 ",2K,S.DIN,,立富,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/05,向得行,潮洋,22613004,-1,50BV30,長套,1/2 ×,28,× 6R,"                 4,860 ",8K,反R,,順龍,,? 出貨完畢,2K,,,  ,,,,,,,,
110/12/11,杰毅,興信,20210916002,-1,50BV30,短套,3/4 ×,36,× 6R,"                 3,523 ",54B,RO,,,,? 出貨完畢,,,,  ,,,,,,,,
111/01/04,杰毅,杰毅,202201040004,-1,50BV30,接頭,3/4 ×,,,"                 1,500 ",2K,車一頭珠溝,,,,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/11,向得行,潮洋,22707009,-1,50BV30,短套,1/2 ×,21,× 6R,"                 5,010 ",2K,反R,,順龍,,? 出貨完畢,2K,,,  ,,,,,,,,
111/07/11,向得行,松亞豐鑫,1110708FS,-1,415,短汽,3/4 ×,30,× 6R,"                 2,091 ",3K,車破反R汽溝,,宏元,,? 出貨完畢,3K,,,  ,,,,,,,,
111/02/07,杰毅,杰毅,202202070004,-1,50BV30,短套,3/4 ×,27,× 6R,                     600 ,1K,補雙溝,,,,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/11,向得行,潮洋,22707009,-2,50BV30,短套,1/2 ×,30,× 6R,                     500 ,-,#4400,,銓成,出貨寫1-3/16,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/08,維興,維興,2221425,-1,50BV30,S,1/2 ×,13,× 6R,"                 4,550 ",13B,單滑溝,,,,? 出貨完畢,,,,  ,,,,,,,,
111/07/07,維興,昇達鑫,20220706015,-1,50BV30,S,1/2 ×,18,× 6R,"                 3,150 ",7B,#1072000,,,,? 出貨完畢,1K,,,  ,,,,,,,,
111/03/10,六宏,六宏,002551,-1,440,長汽,1/2 ×,34,× 6R,"                 1,587 ",4K,車破反R汽溝,,鴻輝,,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/06,向得行,洺洋,20220706003,-1,50BV30,短套,1/2 ×,27,× 6R,"                 3,350 ",32B,反R 車中圓孔,,順龍,,? 出貨完畢,2K,2B,,  ,,,,,,,,
111/07/06,向得行,洺洋,20220706003,-2,50BV30,短套,1/2 ×,27,× 6R,"                 1,100 ",-,反R 車中圓孔,,順龍,做黑,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/05,向得行,潮洋,22629011,-1,50BV30,短套,1/2 ×,20,× 12R,"                 3,010 ",2K,反R,,順龍,,? 出貨完畢,1K,,,  ,,,,,,,,
111/07/05,向得行,潮洋,22623005,-1,440,短汽,1/2 ×,16,× 6R,"                 5,040 ",2K,反R汽溝,,宏元,,? 出貨完畢,,,,  ,,,,,,,,
111/01/13,偉順,三仕,1110112113,-2,50BV30,短套,1/2 ×,3/4,× 12R,"                 3,000 ",25B,直型,,杰霖,111005,? 出貨完畢,,,,  ,,,  ,,,,,
111/02/09,偉順,三仕,1110209104,-2,50BV30,短套,1/2 ×,7/8,× 12R,                     900 ,10B,直型小雙溝,,偉順,111011,? 出貨完畢,,,,  ,,,  ,,,,,
111/07/21,六宏,六宏,017109,-2,415,長汽,1/2 ×,33,× 6R,                     700 ,2K,,,信昌,,? 出貨完畢,2K,,,  ,,,,,,,,
111/07/04,維興,維興,2221589,-1,50BV30,L,1/2 ×,30,× 6R,"                 2,000 ",25B,L.DIN,,,,? 出貨完畢,3K,2B,,  ,,,,,,,,
111/02/07,杰毅,杰毅,202202070003,-1,50BV30,短套,3/4 ×,17,× 6R,                     400 ,1K,補雙溝,,,,? 出貨完畢,,,,  ,,,  ,,,,,
110/07/16,筌振,得利,002200,-1,50BV30,短套,3/4 ×,36,× 12R,"                 1,800 ",4K,反R無珠溝,,,,? 出貨完畢,,,,  ,,,,,,,,
111/06/30,向得行,松亞豐鑫,1110629FS,-1,415,長汽,3/4 ×,38,× 6R,                     472 ,2K,未加工轉出,,富群,,? 出貨完畢,,,,  ,,,,,,,,
111/06/30,?德,潮松,2207010009,-1,50BV30,接頭,1/2 ×,3/4,,"                 8,500 ",5K,汽動,,信昌 (潮松料),,? 出貨完畢,3K,,,  ,,,,,,,,
111/06/30,向得行,松亞豐鑫,1110629FS,-2,415,長汽,1/2 ×,33,× 6R,"                 1,997 ",3K,車破反R汽溝,,宏元,,? 出貨完畢,2K,,"            1,990 ",  ,,,,,,,,
111/06/30,?德,潮松,2207010009,-2,50BV30,接頭,3/4 ×,1/2,,"                 9,000 ",3K,汽動,,信昌 (潮松料),,? 出貨完畢,3K,,,  ,,,,,,,,
111/06/28,向得行,潮洋,22616006,-1,50BV30,長套,1/2 ×,27,× 12R,"                 3,040 ",5K,反R,,順龍,,? 出貨完畢,4K,,,  ,,,,,,,,
111/06/28,向得行,潮洋,22616006,-2,50BV30,長套,1/2 ×,27,× 6R,"                 4,960 ",8K,反R,,銓成,,? 出貨完畢,7K,,,  ,,,,,,,,
111/06/27,六宏,六宏,003437,-1,50BV30,長套,1/2 ×,33,× 12R,"                 1,285 ",4K,車破汽動溝,,信昌,,? 出貨完畢,3K,,,  ,,,,,,,,
111/06/27,維興,維興,2221358,-1,50BV30,S,1/2 ×,23,× 6R,"                 4,424 ",18B,S.DIN,,鴻輝,,? 出貨完畢,,,,  ,,,,,,,,
111/06/23,向得行,松亞豐鑫,1110623,-1,50BV30,短套,1/2 ×,36,× 6R,"                 2,027 ",4K,車破反R,,銓成,整批急件??,? 出貨完畢,3K,,,  ,,,,,,,,
111/01/11,偉順,三仕,1110111122,-2,50BV30,短套,1/2 ×,3/4,× 12R,"                 1,200 ",13B,直型大雙溝,,杰霖,111004,? 出貨完畢,,,,  ,,,  ,,,,,
111/06/23,向得行,松亞豐鑫,1110623,-2,50BV30,短套,1/2 ×,32,× 6R,"                 8,989 ",11K,車破反R,,銓成,,? 出貨完畢,8K,1B,,  ,,,,,,,,
111/06/23,維興,昇達鑫,20220622010,-1,50BV30,S,1/2 ×,12,× 6R,"                 3,000 ",5B,S.92,,銓成,,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/23,維興,昇達鑫,20220622010,-2,50BV30,S,1/2 ×,10,× 6R,"                 3,300 ",6B,S.92,,銓成,,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/23,維興,昇達鑫,20220622010,-3,50BV30,S,1/2 ×,17,× 6R,"                 3,300 ",6B,S.92,,玄豐,,? 出貨完畢,1K,,,  ,,,,,,,,
111/01/06,偉順,三仕,1110106121,-1,50BV30,短套,1/2 ×,13/16,× 12R,"                 4,200 ",12B,直型大雙溝,,杰霖,111004,? 出貨完畢,,,,  ,,,  ,,,,,
111/06/22,維興,維興,2220645,-1,-,S,1/2 ×,23,× 6R,"                 2,500 ",2K,S.DIN,,鴻輝,,? 出貨完畢,2K,,,  ,,,,,,,,
111/06/22,維興,維興,2220645,-2,-,雙向,1/2 ×,19,× 21,"                 5,060 ",23B,車R雙頭,,豐陽,,? 出貨完畢,4K,,,  ,,,,,,,,
111/06/21,向得行,向得行,1018465,-1,415,長汽,1/2 ×,32,× 12R,"                 1,606 ",4K,反R汽溝,,宏元,急件,? 出貨完畢,1K,,                674 ,  ,,,932,不良,,,,
111/06/21,仁廷,昇達鑫,BM1110620,-1,6140,短套,3/4 ×,30,× 6R,"                 5,127 ",46+1B,反R,,君成,,? 出貨完畢,6K,,                897 ,  ,"                         4,222 ",,,,,,,
111/06/21,維興,維興,1110616107,-1,50BV30,S,1/2 ×,23,× 6R,"                 5,237 ",21B,S.92,,玄豐,,? 出貨完畢,3K,,,  ,,,,,,,,
111/03/25,維興,昇達鑫,20220325012,-1,50BV30,L,1/2 ×,10,× 6R,"                 1,250 ",5B,L.92,,銓成,,? 出貨完畢,,,,  ,,,  ,,,,,
111/03/09,偉順,昇達鑫,20220309039,-1,50BV30,短套,1/2 ×,30,× 12R,"                 3,000 ",20B,111098,,-,,?? 訂單轉移,,,,"           3,000 ",,,  ,,,,,
111/06/21,偉順,三仕,1110620112,-1,50BV30,短套,1/2 ×,3/4,× 12R,"                 2,200 ",-,反R,,偉順,111063,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/20,杰毅,昇達鑫,ZU1110617,-1,440,短汽,1/2 ×,26,× 6R,                     680 ,4B,RO汽溝,,璉寰,,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/20,仁廷,昇達鑫,BM1110617,-1,6140,短套,3/4 ×,30,× 12R,"                 3,135 ",28+1B,反R,,君成,,? 出貨完畢,4K,,"            3,123 ",  ,,,,,,,,
111/06/17,杰毅,昇達鑫,20220616025,-1,440,短汽,1/2 ×,22,× 6R,"                 1,080 ",4B,RO汽溝,,璉寰,,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/17,維興,維興,2221756,-1,-,S,1/2 ×,8,× 6R,                     390 ,1B,修改方孔,,,整批急件??,? 出貨完畢,,1B,,  ,,,,,,,,
111/06/17,維興,維興,2221757,-1,-,S,1/2 ×,8,× 6R,"                 3,500 ",10B,S.DIN,,鴻輝,,? 出貨完畢,1K,,"            3,290 ",  ,,,,,,,,
111/06/17,維興,維興,2221756,-2,-,S,1/2 ×,7/8,× 6R,"                 5,141 ",21B,短美單,,立富,,? 出貨完畢,3K,,,  ,,,,,,,,
111/06/17,仁廷,昇達鑫,BM1110616,-1,6140,短套,3/4 ×,27,× 12R,"                 6,059 ",46B,反R,,君成,,? 出貨完畢,3K,,"            2,522 ",  ,"                         3,537 ",,,,,,,
111/06/17,維興,維興,2221756,-3,-,S,1/2 ×,15,× 6R,"                 1,212 ",1K,修改方孔,,,整批急件??,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/16,杰毅,昇達鑫,20220615005,-1,50BV30,短套,1/2 ×,13,× 12R,"                 1,200 ",2B,RO雙溝,,杰毅,,? 出貨完畢,,2B,,  ,,,,,,,,
111/03/07,偉順,三仕,1110307117,-1,50BV30,短套,1/2 ×,9,× 12R,                     500 ,4B,正R一溝,,杰霖,111023,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/02,偉順,入庫尚揚,1110073,-1,50BV30,短套,1/2 ×,15,× 12R,"                 1,900 ",-,直型,111/10/07,杰霖,1110073,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/16,杰毅,觀宏,11106150003,-1,50BV30,HBS,1/2 ×,14,× 6R,"                 1,000 ",2B,正R板溝珠(加大24o),,杰毅,,? 出貨完畢,1K,,,  ,,,,,,,,
111/06/16,杰毅,昇達鑫,20220615005,-2,50BV30,短套,1/2 ×,16,× 6R,"                 2,100 ",3B,RO雙溝,,杰毅,,? 出貨完畢,,,,  ,,,,,,,,
111/08/02,偉順,入庫尚揚,1110074,-2,50BV30,短套,1/2 ×,32,× 12R,"                 1,100 ",-,反R,111/09/20,杰霖,1110074,? 出貨完畢,1K,,,  ,,,,,,,,
