進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
114/01/09,筌振,智旺入,009334,-1,50BV30,長汽,1/2 ×,1-1/16,× 6R,"                 1,929 ",3K,IC圖,,,,? 出貨完畢,,,,,,,,,,,,
114/01/09,筌振,智旺入,009334,-2,50BV30,長汽,1/2 ×,"1""",× 6R,"                 1,400 ",2K,修六角孔,,,IC圖,? 出貨完畢,,,,,,,,,,,,
114/01/09,筌振,智旺入,009334,-3,50BV30,長汽,1/2 ×,27,× 6R,"                 4,460 ",60B,IC圖,,,,? 出貨完畢,,,,,,,,,,,,
114/01/09,仁廷,智旺入,0341,-1,50BV30,汽動萬套,- ×,21,× 6R,"               18,045 ",63B,,,,,? 出貨完畢,,,,,,,,,,,,
114/01/09,仁廷,智旺入,0341,-2,50BV30,長套,1/2 ×,30,× 6R,"                 2,210 ",22B,S圖,,,,,,,,,,,,,,,,
114/01/09,筌振,智旺入,009339,-1,50BV30,長套,1/2 ×,30,× 6R,                     790 ,10B,S圖,,,,? 出貨完畢,,,"            3,010 ",,,,,,,,,
114/01/09,筌振,智旺入,009339,-2,50BV30,長套,1/2 ×,32,× 6R,"                 2,500 ",32B,S圖,,,,? 出貨完畢,,,"            2,990 ",,,,,,,,,
114/01/10,向得行,三仕入,1140102726,-1,50BV30,短套,1/2 ×,19,× 6R,"                 2,040 ",12B,反R,,,,? 出貨完畢,,,,,,,,,,,,
114/01/10,筌振,三仕入,1140107127,-1,50BV30,短套,3/4 ×,22,× 12R,"                 2,100 ",14B,正R無珠溝,,,,,,,,,,,,,,,,
114/01/10,維興,維興入,2219302,-1,50BV30,雙向,1/2 ×,18.5,× 19.5,"                 5,976 ",5K,車R雙頭,1A2532,,,,,,,,,,,,,,,
114/01/13,六宏,昇達鑫入,20250109023,-1,50BV30,長汽,1/2 ×,22,× 6R,"                 1,430 ",11B,雙頭,,,,? 出貨完畢,,,,,,,,,,,,
114/01/13,六宏,昇達鑫入,20250109023,-2,50BV30,短套,1/2 ×,32,× 6R,                     500 ,20B,反R,,,,,,,,,,,,,,,,
114/01/13,六宏,昇達鑫入,20250109023,-3,50BV30,短套,1/2 ×,32,× 6R,"                 2,500 ",,,,,庫存??,,,,,,,,,,,,,
114/01/13,六宏,昇達鑫入,20250109023,-4,50BV30,短套,1/2 ×,24,× 6R,"                 3,010 ",10+1B,,,,庫存??,,,,,,,,,,,,,
114/01/13,鉅朋,昇達鑫入,20250109022,-1,50BV30,短汽,1/2 ×,27,× 6R,                     680 ,4B,,,,,? 出貨完畢,,,,,,,,,,,,
114/01/13,維興,昇達鑫入,20250109021,-1,50BV30,L,1/2 ×,24,× 6R,"                 1,200 ",8B,L.92,,,,,,,,,,,,,,,,
